"idBank";"Dernière mise à jour";"Indicateur";"Série arrêtée";"Unité";"Nature";"Zone géographique";"Correction";"Catalogue d'indicateurs démographiques";"Périodicité";"Puissance"
"001641599";"11/02/2021 11:49";"Nombre de mariages";"non";"nombre";"Valeur absolue";"France";"Non corrigé";"Mariages enregistrés";"Mensuelle";"0"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
